# SpekpyWeb (Spekpy ver. 2.0.13.1)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 0.1
# Target material: W
# Anode angle (°): 180
# kV: 50
# x (cm): 0
# y (cm): 0
# z (cm): 0.4
# mAs: 0.09
# Bremsstrahlung: true
# Char. x-ray: true

# Filtration: None

# Mid-bin energy (keV)	Fluence (cm⁻² keV⁻¹)
1.0499999999999972	9969202868.643242
1.1499999999999972	9101413817.52546
1.2499999999999971	8372377827.843159
1.3499999999999972	7752885557.484266
1.449999999999997	7215661390.579119
1.5499999999999972	6749153826.931714
1.6499999999999972	6339132967.210818
1.7499999999999973	5975910433.516091
1.8499999999999972	6141193058.400058
1.949999999999997	5361057323.652426
2.049999999999997	5098531454.53988
2.1499999999999972	4860369778.987772
2.2499999999999973	4643324199.208733
2.349999999999997	4444692497.053706
2.4499999999999975	4262229533.344583
2.549999999999997	4094004980.650754
2.6499999999999972	3938415497.027386
2.7499999999999973	3794107242.4399066
2.849999999999997	3659887757.3534155
2.9499999999999975	3534733847.0431542
3.049999999999997	3417749472.817073
3.1499999999999972	3308160443.317759
3.2499999999999973	3205279416.7346563
3.3499999999999974	3108507728.870496
3.4499999999999975	3017315590.11546
3.549999999999997	2931232047.846614
3.6499999999999972	2849835971.238605
3.7499999999999973	2772757191.986712
3.8499999999999974	2699645212.4634285
3.9499999999999975	2630209752.009352
4.049999999999997	2564175635.1495113
4.149999999999997	2501196384.817577
4.249999999999997	2441043658.872308
4.349999999999998	2383520417.9217296
4.4499999999999975	2328460113.567565
4.549999999999997	2275702183.4872937
4.649999999999997	2225110695.8179374
4.749999999999997	2176545790.630237
4.849999999999998	2129886924.586925
4.9499999999999975	2085023806.7449791
5.049999999999997	2041853413.6507432
5.149999999999998	2000359867.5163977
5.249999999999997	1960445813.8058648
5.349999999999997	1922020574.8141868
5.4499999999999975	1885006885.5684574
5.549999999999997	1849315276.4450436
5.649999999999998	1814883403.295089
5.749999999999997	1781644197.0163486
5.849999999999998	1749537139.9146037
5.9499999999999975	1718506278.3375275
6.049999999999997	1688489216.9488173
6.149999999999998	1659447821.6013737
6.249999999999997	1631332046.7465525
6.349999999999998	1604101439.1203625
6.4499999999999975	1577717083.383335
6.549999999999997	1552128188.8143697
6.649999999999998	1527309757.278917
6.749999999999997	1503224394.2638903
6.849999999999998	1479843733.1803646
6.9499999999999975	1457137312.7827246
7.049999999999997	1435066640.442005
7.149999999999998	1413613081.0881212
7.249999999999997	1392749840.9844003
7.349999999999998	20394097410.19204
7.4499999999999975	1352705591.6375937
7.549999999999997	1333475450.2914693
7.649999999999998	1477560443.2178676
7.749999999999997	1296510088.911799
7.849999999999998	1278733122.2654426
7.9499999999999975	1408884301.9769943
8.049999999999997	1244491212.0942626
8.149999999999999	1227998803.1009328
8.249999999999996	1211906302.8164172
8.349999999999998	318511556989.55975
8.449999999999998	1180866213.3780763
8.549999999999997	1165886847.9296927
8.649999999999999	1151252197.5525231
8.749999999999996	4674602547.963305
8.849999999999998	1122969827.3785167
8.949999999999998	1109299552.4524944
9.049999999999997	1095925791.3493483
9.149999999999997	1082843870.6550078
9.249999999999998	1180925070.897504
9.349999999999998	1057516848.1154207
9.449999999999998	1045254796.7943248
9.549999999999997	9199152632.740475
9.649999999999997	129795656652.18271
9.749999999999998	1078185904.2958133
9.849999999999998	11220726834.474281
9.949999999999998	57164533355.582
10.049999999999997	976777329.2669822
10.149999999999997	3346592798.194762
10.249999999999998	1547369139.9498072
10.349999999999998	945523670.7369683
10.449999999999998	935504177.4541652
10.549999999999997	925671397.7730848
10.649999999999999	916023659.2481607
10.749999999999998	906555084.9410374
10.849999999999998	897260854.1863327
10.949999999999998	1730636550.6822946
11.049999999999997	879174261.4430467
11.149999999999999	899082025.0824281
11.249999999999998	861725819.8202275
11.349999999999998	24158770206.452705
11.449999999999998	1006440424.8384887
11.549999999999997	3547156011.868376
11.649999999999999	3488133701.0738173
11.749999999999998	820680629.0073521
11.849999999999998	898705283.7469038
11.949999999999998	805218796.08309
12.049999999999997	1509227344.2378328
12.149999999999999	790262533.0337292
12.249999999999998	782966702.2139114
12.349999999999998	775788564.7391962
12.449999999999998	768726009.6654742
12.549999999999997	761777349.5784837
12.649999999999999	754940225.4632758
12.749999999999998	748209528.3852371
12.849999999999998	741582550.520198
12.949999999999998	735057023.3290226
13.049999999999997	728630313.898265
13.149999999999999	722301129.8688756
13.249999999999998	716067738.2260984
13.349999999999998	709928176.2105787
13.449999999999998	703880148.5574993
13.549999999999997	697921413.6981198
13.649999999999999	692048915.0430505
13.749999999999998	686260779.7391665
13.849999999999998	680555293.8142648
13.949999999999998	674930850.7979797
14.049999999999997	669385999.8959612
14.149999999999999	663918411.6124402
14.249999999999998	658526596.838614
14.349999999999998	653209354.6453611
14.449999999999998	647966075.2463568
14.549999999999997	642794506.243935
14.649999999999999	637691685.8843194
14.749999999999998	632657384.6522493
14.849999999999998	627689985.9151752
14.949999999999998	622789443.9189734
15.049999999999997	617955780.4501414
15.149999999999999	613187190.024868
15.249999999999998	608480386.0154234
15.349999999999998	603834837.0928513
15.449999999999998	599250014.3061287
15.549999999999997	594723470.4356546
15.649999999999999	590253734.1346316
15.749999999999998	585840554.6496139
15.849999999999998	581483710.0445006
15.949999999999998	577181812.5480657
16.049999999999997	572933427.6717587
16.15	568735610.7143052
16.25	564588469.0026861
16.349999999999998	560491536.7227385
16.449999999999996	556443806.0659429
16.549999999999997	552444080.5173382
16.65	548491630.3899801
16.75	544586408.4776616
16.849999999999998	540728010.3047268
16.949999999999996	536916369.0288941
17.049999999999997	533148899.32777333
17.15	529424127.70178556
17.249999999999996	525741935.7191505
17.349999999999998	522101858.63368523
17.45	518503892.5506512
17.549999999999997	514947963.6522328
17.65	511433998.02569115
17.749999999999996	507959213.6428761
17.849999999999998	504523263.0181875
17.95	501126538.1854349
18.049999999999997	497766578.36317
18.15	494442089.4087633
18.249999999999996	491153333.39064556
18.349999999999998	487900203.74889594
18.45	484682450.56438017
18.549999999999997	481498455.00883627
18.65	478347937.9259143
18.749999999999996	475231392.8875666
18.849999999999998	472148676.46191895
18.95	469099851.0564932
19.049999999999997	466082799.0365431
19.15	463095595.437137
19.249999999999996	460138846.05524033
19.349999999999998	457212703.22971165
19.45	454316614.5791238
19.549999999999997	451448762.91662085
19.65	448609636.57045215
19.749999999999996	445798611.6600664
19.849999999999998	443016295.22801584
19.95	440262733.55576897
20.049999999999997	437538091.54216397
20.15	434842140.5649345
20.25	432172162.98143786
20.349999999999998	429528320.5683402
20.45	426910838.92800283
20.549999999999997	424317744.16135246
20.65	421748245.33529407
20.75	419203326.17747784
20.849999999999998	416682904.9770458
20.95	414186735.1016663
21.049999999999997	411713382.63593704
21.15	409262396.95181
21.25	406834787.25689465
21.349999999999998	404430348.32836735
21.45	402048889.3766843
21.549999999999997	399689102.91399604
21.65	397349975.1632579
21.75	395032117.94454396
21.849999999999998	392735809.3706648
21.95	390460699.7918347
22.049999999999997	388205169.4708652
22.15	385969312.6212176
22.25	383753004.0861779
22.349999999999998	381556673.8561464
22.45	379380155.53338283
22.549999999999997	377224751.1284209
22.65	375090786.2747935
22.75	372974749.931577
22.849999999999998	370877460.4578486
22.95	368799496.95115954
23.049999999999997	366738097.7036473
23.15	364693502.85191816
23.25	362665941.23111194
23.349999999999998	360654566.4494109
23.45	358661416.01627564
23.549999999999997	356683793.12744325
23.65	354721420.1211485
23.75	352775691.4470278
23.849999999999998	350846059.4676879
23.95	348933519.83827543
24.049999999999997	347035738.9371658
24.15	345152984.6042824
24.25	343285191.3298616
24.349999999999998	341432508.5264665
24.45	339596447.43768287
24.549999999999997	337773853.2151739
24.65	335964866.08688146
24.75	334169893.96663105
24.849999999999998	332389034.19473034
24.95	330623430.460138
25.049999999999997	328872748.9653378
25.15	327137632.8376412
25.25	325415350.198083
25.349999999999998	323706206.50223976
25.45	322011894.7538216
25.549999999999997	320328805.6498479
25.65	318657783.91150546
25.75	316998905.7303655
25.849999999999998	315352285.4047528
25.95	313719782.35595447
26.049999999999997	312097661.1853418
26.15	310486690.7359915
26.25	308886867.7786153
26.349999999999998	307297997.97961235
26.45	305722778.9404266
26.549999999999997	304157074.2957618
26.65	302601270.419237
26.75	301056189.23334754
26.849999999999998	299522125.84816986
26.95	298000354.0939488
27.049999999999997	296487833.2325248
27.15	294985174.3978189
27.25	293492377.6491753
27.349999999999998	292010763.25849664
27.45	290541493.69981575
27.549999999999997	289083462.14008594
27.65	287637364.4324681
27.75	286200479.80184674
27.849999999999998	284772723.8757721
27.95	283356267.938898
28.049999999999997	281947415.9171089
28.15	280546661.6526541
28.25	279154317.2690347
28.349999999999998	277771489.95850325
28.45	276399693.3782163
28.549999999999997	275034613.681963
28.65	273677477.0345456
28.75	272328846.789136
28.849999999999998	270989205.7511092
28.95	269660443.07443446
29.049999999999997	268338041.83292058
29.15	267022435.94578987
29.25	265714415.29516375
29.349999999999998	264414310.33619684
29.45	263124248.3713144
29.549999999999997	261839316.39251903
29.65	260560851.83463848
29.75	259289779.50056776
29.849999999999998	258026595.39195547
29.95	256773141.87148327
30.049999999999997	255527588.6572961
30.15	254291177.3547828
30.25	253062634.35414848
30.349999999999998	251841811.7552214
30.45	250630049.84768724
30.549999999999997	249422983.03281623
30.65	248221964.97379255
30.75	247028149.64778137
30.849999999999998	245840951.3276449
30.95	244662615.9689767
31.049999999999997	243488620.3333362
31.15	242319975.4554391
31.25	241157968.3446057
31.349999999999998	240002555.41541794
31.45	238855065.14413247
31.549999999999997	237711649.71773648
31.65	236573249.45065215
31.75	235441062.75966778
31.849999999999998	234314887.4764415
31.95	233196629.12484965
32.05	232081800.42811602
32.15	230971573.90813273
32.25	229867572.12967363
32.349999999999994	228769377.15587097
32.45	227678503.30450207
32.55	226594098.96144682
32.65	225517776.2454716
32.75	224447169.15169585
32.849999999999994	223382268.20242587
32.95	222324417.76934865
33.05	221269207.9955957
33.15	220218097.3819043
33.25	219172656.82212564
33.35	218132472.10803443
33.449999999999996	217098570.52816793
33.55	216066777.3208789
33.65	215039477.94480497
33.75	214017569.18730584
33.85	213000642.06378484
33.949999999999996	211989757.73130912
34.05	210981215.61413455
34.15	209976544.69494385
34.25	208976486.7366946
34.35	207980996.0699709
34.449999999999996	206991032.08914655
34.55	206002911.46864706
34.65	205018543.3727259
34.75	204039309.1767506
34.85	203064724.35252365
34.949999999999996	202095818.1447346
35.05	201132569.56259334
35.15	200176578.355746
35.25	199224687.58648914
35.35	198277303.62546682
35.449999999999996	197334459.47832718
35.55	196392946.72237724
35.65	195454865.60504216
35.75	194521103.0657638
35.85	193591680.29768744
35.949999999999996	192666534.16926256
36.05	191743045.01503995
36.15	190822734.6548579
36.25	189906382.90550235
36.35	188993930.5135765
36.449999999999996	188085483.04562435
36.55	187178580.53991896
36.65	186274653.27034882
36.75	185374262.99408814
36.85	184477954.28672585
36.949999999999996	183585251.39138505
37.05	182694014.43233922
37.15	181805031.94427273
37.25	180919329.82464996
37.35	180036940.92135927
37.449999999999996	179157689.0730994
37.55	178283473.687119
37.65	177415935.83933267
37.75	176551703.20890823
37.85	175691109.55352777
37.949999999999996	174833906.81247082
38.05	173977582.03482488
38.15	173123250.61472872
38.25	172271370.17449126
38.35	171422757.1505919
38.449999999999996	170576599.51086637
38.55	169730690.5090205
38.65	168886770.70346254
38.75	168045721.71320912
38.85	167207743.42912862
38.949999999999996	166372345.27919814
39.05	165537087.6089445
39.15	164703867.45355353
39.25	163873363.51246798
39.35	163045380.4690121
39.45	162219517.04141465
39.55	161393721.38170174
39.65	160570327.963866
39.75	159749334.5734224
39.85	158930654.03043994
39.95	158114046.5766264
40.05	157301489.20584106
40.15	156494215.33293393
40.25	155688374.22635347
40.35	154884254.52283412
40.45	154081911.62310496
40.55	153279262.29138717
40.65	152478098.29586038
40.75	151678513.23256725
40.85	150881247.8440691
40.95	150085941.69627282
41.05	149290565.6922159
41.15	148495991.32867917
41.25	147702377.66940904
41.35	146910870.0054586
41.45	146120838.3157421
41.55	145330088.90590256
41.65	144540008.48875776
41.75	143750930.62477884
41.85	142964044.7403068
41.95	142178867.88163814
42.05	141392766.17959747
42.15	140607308.44314402
42.25	139822107.1771779
42.35	139039414.5359471
42.45	138258088.07880384
42.55	137479843.77016512
42.65	136706099.87922284
42.75	135932163.5109182
42.85	135161274.6807815
42.95	134391539.8197117
43.05	133620584.71099712
43.15	132849471.08425672
43.25	132077844.88475597
43.35	131309462.57313332
43.45	130542006.74497147
43.55	129773195.42810604
43.65	129003809.32743344
43.75	128233633.85408884
43.85	127466977.34843262
43.95	126701079.51107106
44.05	125933644.73283035
44.15	125164870.05115691
44.25	124394844.20475827
44.35	123628280.35226421
44.45	122862057.0487595
44.55	122093760.7623632
44.65	121323744.11620018
44.75	120552530.48196234
44.85	119785196.96585865
44.95	119018245.10022561
45.05	118254323.5044157
45.15	117492965.27368265
45.25	116730569.4916269
45.35	115972383.70577328
45.45	115214317.63804552
45.55	114453615.58502352
45.65	113689180.04203422
45.75	112923565.76784779
45.85	112162253.54237007
45.95	111400370.86714949
46.05	110635303.62012547
46.15	109866037.4083521
46.25	109096128.9019587
46.35	108340457.52791153
46.45	107584083.13594219
46.55	106824442.85361047
46.65	106059993.15907319
46.75	105295216.08709365
46.85	104535514.68320826
46.95	103774916.58694173
47.05	103010684.82622348
47.15	102241427.65740635
47.25	101472211.73615679
47.35	100708620.974846
47.45	99944043.08127621
47.55	99174672.58031712
47.65	98400506.183022
47.75	97627240.35377085
47.85	96860833.22213188
47.95	96094043.4524299
48.05	95323273.59977269
48.15	94549041.83301297
48.25	93776071.31599875
48.35	93010692.68726829
48.45	92245036.38224803
48.55	91439949.50941896
48.65	90597098.12162897
48.75	89756047.257682
48.85	88923496.09933898
48.95	88090939.02162828
49.05	87255169.66960192
49.15	86415521.39765543
49.25	85574771.03279346
49.35	84740193.34588087
49.45	83902414.84438752
49.55	82204464.8282765
49.65	74912799.90699635
49.75	61327757.648796126
49.85	41570019.22630597
49.95	15443430.88413077
